                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 0.4704,                0.29367,                0.79478,                0.99868,                0.98671,                0.99465,                0.93078,                0.41269,                0.24959,                0.79833,             0.00035382,             0.00035382,             0.00035382
                     78,                0.48032,                0.29656,                0.79822,                0.99515,                0.98671,                0.99475,                0.94497,                0.37885,                0.24288,                0.79369,             0.00033967,             0.00033967,             0.00033967
                     79,                0.47001,                0.28898,                0.79498,                0.99913,                0.98671,                0.99416,                0.94202,                0.37579,                0.24275,                0.79228,             0.00032553,             0.00032553,             0.00032553
                     80,                0.46859,                0.28786,                 0.7991,                0.99534,                0.98671,                0.99419,                0.94053,                0.37677,                 0.2454,                0.79371,             0.00031138,             0.00031138,             0.00031138
                     81,                 0.4645,                 0.2894,                0.79578,                0.99877,                0.98671,                0.99431,                 0.9446,                0.38217,                0.24234,                0.79394,             0.00029723,             0.00029723,             0.00029723
                     82,                0.45401,                0.28281,                0.79625,                 0.9985,                0.98671,                0.99486,                 0.9428,                0.38764,                0.24349,                0.79388,             0.00028308,             0.00028308,             0.00028308
                     83,                0.45897,                0.28296,                0.79361,                0.99878,                0.98671,                 0.9949,                0.94633,                0.36334,                0.23598,                0.79146,             0.00026894,             0.00026894,             0.00026894
                     84,                0.46604,                0.28421,                  0.797,                0.99576,                 0.9877,                0.99485,                0.94338,                0.37077,                0.23856,                 0.7928,             0.00025479,             0.00025479,             0.00025479
                     85,                0.45356,                0.28092,                0.79495,                0.99506,                0.98897,                0.99412,                0.94288,                0.38473,                0.24034,                0.79207,             0.00024064,             0.00024064,             0.00024064
                     86,                0.46561,                0.28375,                0.79454,                0.99167,                0.99104,                0.99486,                0.94054,                0.39877,                0.24418,                0.79288,              0.0002265,              0.0002265,              0.0002265
                     87,                0.45809,                0.28062,                0.79432,                0.99681,                0.98671,                0.99486,                0.94606,                0.35913,                0.23172,                0.78933,             0.00021235,             0.00021235,             0.00021235
                     88,                0.44697,                0.27784,                0.79811,                0.99652,                0.98798,                0.99428,                0.95121,                0.35447,                0.22449,                0.79064,              0.0001982,              0.0001982,              0.0001982
                     89,                 0.4394,                0.27579,                0.79352,                 0.9985,                0.98902,                0.99437,                 0.9495,                0.35137,                0.22719,                0.78929,             0.00018406,             0.00018406,             0.00018406
                     90,                0.44178,                0.27457,                0.79561,                0.99517,                0.99152,                0.99493,                0.94428,                0.37278,                0.22897,                0.79101,             0.00016991,             0.00016991,             0.00016991
                     91,                 0.4286,                 0.2698,                0.79235,                0.99536,                0.99087,                 0.9943,                0.94327,                0.36661,                0.23656,                0.78927,             0.00015576,             0.00015576,             0.00015576
                     92,                0.41174,                0.26216,                0.78409,                0.99912,                0.98691,                0.99433,                0.94135,                0.37238,                0.23258,                0.78841,             0.00014161,             0.00014161,             0.00014161
                     93,                0.41045,                  0.259,                0.79158,                0.99929,                0.98644,                0.99487,                0.94411,                0.36943,                 0.2338,                0.78924,             0.00012747,             0.00012747,             0.00012747
                     94,                0.39282,                0.25355,                0.78829,                 0.9956,                0.98682,                0.99483,                0.94874,                0.36283,                0.22691,                0.78969,             0.00011332,             0.00011332,             0.00011332
                     95,                0.39178,                0.25363,                0.78452,                0.99124,                0.99522,                0.99491,                0.94417,                0.36311,                0.22888,                0.78935,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     96,                0.38374,                0.24706,                0.78833,                0.99565,                0.98681,                0.99483,                0.94707,                0.35933,                0.22509,                0.78899,             8.5026e-05,             8.5026e-05,             8.5026e-05
                     97,                0.40031,                0.25344,                0.78869,                0.99629,                0.98671,                0.99486,                 0.9495,                0.35868,                0.22278,                 0.7892,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     98,                0.37797,                  0.243,                0.78736,                0.99565,                0.98678,                0.99486,                0.95128,                0.35091,                0.22341,                0.78799,             5.6731e-05,             5.6731e-05,             5.6731e-05
                     99,                0.37489,                0.24271,                0.78412,                0.99534,                0.99026,                0.99489,                0.95122,                0.34917,                0.22014,                0.78802,             4.2584e-05,             4.2584e-05,             4.2584e-05
                    100,                0.37762,                0.24198,                0.78445,                0.99534,                0.99025,                0.99489,                 0.9525,                0.34956,                0.22019,                 0.7883,             2.8437e-05,             2.8437e-05,             2.8437e-05
