                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     58,                 0.3794,                0.24809,                0.78151,                0.99976,                      1,                  0.995,                0.97348,                0.25066,                0.18034,                0.77155,               0.004357,               0.004357,               0.004357
                     59,                0.38518,                0.25029,                0.78486,                0.99979,                      1,                  0.995,                0.97996,                0.23278,                0.17468,                0.77074,               0.004258,               0.004258,               0.004258
                     60,                0.38598,                0.24814,                0.78417,                0.99967,                      1,                  0.995,                0.97159,                0.25272,                0.17672,                0.77112,               0.004159,               0.004159,               0.004159
                     61,                 0.3708,                 0.2436,                0.78219,                0.99968,                      1,                  0.995,                0.98002,                 0.2354,                  0.173,                0.77089,                0.00406,                0.00406,                0.00406
                     62,                0.36666,                0.24157,                 0.7824,                0.99974,                      1,                  0.995,                0.97541,                0.23954,                0.17579,                0.77185,               0.003961,               0.003961,               0.003961
                     63,                0.37783,                0.24767,                0.78203,                0.99979,                      1,                  0.995,                0.97979,                0.22743,                0.17549,                0.76952,               0.003862,               0.003862,               0.003862
                     64,                0.35505,                0.23687,                0.77687,                0.99982,                      1,                  0.995,                0.97948,                0.23701,                0.17081,                0.77049,               0.003763,               0.003763,               0.003763
                     65,                0.35085,                0.23623,                0.78064,                0.99979,                      1,                  0.995,                0.98118,                0.22517,                0.16423,                0.76975,               0.003664,               0.003664,               0.003664
                     66,                0.36114,                0.24059,                0.78111,                0.99979,                      1,                  0.995,                0.98004,                0.23335,                0.17527,                0.77025,               0.003565,               0.003565,               0.003565
                     67,                0.34553,                0.23104,                0.77927,                0.99978,                      1,                  0.995,                0.98091,                0.23145,                0.16706,                0.76929,               0.003466,               0.003466,               0.003466
                     68,                 0.3615,                 0.2406,                0.78141,                0.99981,                      1,                  0.995,                0.98123,                0.23093,                0.16771,                0.76907,               0.003367,               0.003367,               0.003367
                     69,                0.34637,                0.23044,                0.77975,                0.99984,                      1,                  0.995,                0.98316,                0.23157,                0.16497,                0.76954,               0.003268,               0.003268,               0.003268
                     70,                0.33661,                0.23053,                0.78028,                0.99979,                      1,                  0.995,                0.98363,                0.22437,                0.16552,                0.76856,               0.003169,               0.003169,               0.003169
